RACE,RACE_gen
White,White
White,White
Asian,OTHER
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
Others,OTHER
White,White
Black,OTHER
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Black,OTHER
Black,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
Latino,OTHER
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
Others,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Asian,OTHER
Asian,OTHER
Asian,OTHER
Black,OTHER
White,White
White,White
White,White
White,White
White,White
Black,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Native,OTHER
Native,OTHER
White,White
Native,OTHER
White,White
White,White
Asian,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
Others,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
Asian,OTHER
Asian,OTHER
Native,OTHER
Asian,OTHER
Latino,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Asian,OTHER
Asian,OTHER
Black,OTHER
Black,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
Latino,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
Black,OTHER
White,White
White,White
Asian,OTHER
Black,OTHER
Asian,OTHER
Others,OTHER
White,White
White,White
White,White
Asian,OTHER
Asian,OTHER
Native,OTHER
Asian,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
Asian,OTHER
Latino,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
Asian,OTHER
Asian,OTHER
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Native,OTHER
White,White
White,White
White,White
White,White
Others,OTHER
Others,OTHER
White,White
Latino,OTHER
Asian,OTHER
Black,OTHER
White,White
Native,OTHER
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
Asian,OTHER
Asian,OTHER
Native,OTHER
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Latino,OTHER
White,White
Asian,OTHER
Asian,OTHER
Latino,OTHER
Black,OTHER
Asian,OTHER
Native,OTHER
Native,OTHER
Asian,OTHER
White,White
Asian,OTHER
Black,OTHER
Black,OTHER
Asian,OTHER
Latino,OTHER
Asian,OTHER
White,White
Asian,OTHER
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
Asian,OTHER
White,White
Black,OTHER
White,White
Black,OTHER
Asian,OTHER
White,White
Black,OTHER
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Native,OTHER
White,White
Black,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
Others,OTHER
White,White
Black,OTHER
White,White
Asian,OTHER
White,White
White,White
Latino,OTHER
White,White
Asian,OTHER
White,White
White,White
White,White
Black,OTHER
White,White
Others,OTHER
Asian,OTHER
Asian,OTHER
Others,OTHER
White,White
Asian,OTHER
White,White
White,White
Others,OTHER
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
Asian,OTHER
Others,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Black,OTHER
Asian,OTHER
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
Black,OTHER
Asian,OTHER
Asian,OTHER
Native,OTHER
Black,OTHER
Black,OTHER
Black,OTHER
White,White
Native,OTHER
White,White
Asian,OTHER
Black,OTHER
White,White
Latino,OTHER
White,White
Asian,OTHER
White,White
White,White
Black,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
Black,OTHER
White,White
White,White
White,White
White,White
Native,OTHER
Black,OTHER
Asian,OTHER
White,White
Black,OTHER
Black,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
Black,OTHER
White,White
White,White
White,White
White,White
Asian,OTHER
Asian,OTHER
Asian,OTHER
White,White
White,White
White,White
White,White
Latino,OTHER
White,White
Asian,OTHER
Black,OTHER
White,White
White,White
Black,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
White,White
Others,OTHER
Asian,OTHER
Native,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
Black,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Black,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
White,White
Black,OTHER
Native,OTHER
Asian,OTHER
White,White
Others,OTHER
Asian,OTHER
White,White
Asian,OTHER
White,White
White,White
Black,OTHER
Asian,OTHER
White,White
White,White
Black,OTHER
Black,OTHER
Asian,OTHER
Black,OTHER
White,White
Latino,OTHER
Asian,OTHER
Native,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Others,OTHER
White,White
White,White
White,White
White,White
Native,OTHER
Native,OTHER
Asian,OTHER
White,White
Asian,OTHER
Native,OTHER
Latino,OTHER
Black,OTHER
Asian,OTHER
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
Asian,OTHER
Black,OTHER
White,White
Asian,OTHER
White,White
White,White
White,White
Black,OTHER
Native,OTHER
Asian,OTHER
White,White
White,White
Black,OTHER
White,White
Asian,OTHER
Asian,OTHER
White,White
Black,OTHER
White,White
Asian,OTHER
White,White
White,White
Others,OTHER
Asian,OTHER
Asian,OTHER
Others,OTHER
White,White
Asian,OTHER
White,White
White,White
Black,OTHER
White,White
White,White
Asian,OTHER
White,White
Asian,OTHER
White,White
White,White
White,White
White,White
White,White
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
Black,OTHER
Asian,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
Others,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
White,White
White,White
White,White
Native,OTHER
White,White
Asian,OTHER
White,White
Black,OTHER
Asian,OTHER
Asian,OTHER
Asian,OTHER
White,White
White,White
White,White
Asian,OTHER
Asian,OTHER
White,White
White,White
Asian,OTHER
Asian,OTHER
Black,OTHER
White,White
White,White
White,White
Asian,OTHER
White,White
White,White
Black,OTHER
White,White
Asian,OTHER
White,White
Latino,OTHER
White,White
White,White
White,White
